Avis,Avis_clean,Langue,platform,brand,Titre de l'avis,Date,Date_str
"This little bistro on a great street in Paris served up some tasty dishes. If you want to have the most traditional Parisian cuisine, this is your spot. It's a spot that locals and tourists frequent. This means authenticity and ease. The waiters were very helpful, spoke some English, and provided excellent service. I would definitely go back.","This little bistro on a great street in Paris served up some tasty dishes. If you want to have the most traditional Parisian cuisine, this is your spot. It's a spot that locals and tourists frequent. This means authenticity and ease. The waiters were very helpful, spoke some English, and provided excellent service. I would definitely go back.",en,Yelp,Le Petit Cler,,,
Charming small bistro restaurant with a wonderful menu! We stumbled on the restaurant down a quaint little lane behind our hotel in Paris! We were welcomed in and enjoyed the authenticity of a small establishment but large on service! Our meal was outstanding and I had to have the profiteroles for dessert. They are not to be skipped!,Charming small bistro restaurant with a wonderful menu! We stumbled on the restaurant down a quaint little lane behind our hotel in Paris! We were welcomed in and enjoyed the authenticity of a small establishment but large on service! Our meal was outstanding and I had to have the profiteroles for dessert. They are not to be skipped!,en,Yelp,Le Petit Cler,,,
"What a nice suprise! Get the Croquet Monsieur and the croquet madame. Both amazing and you can sit outside! 10/10 recommend, and prices are reasonable!","What a nice suprise! Get the Croquet Monsieur and the croquet madame. Both amazing and you can sit outside! 10/10 recommend, and prices are reasonable!",en,Yelp,Le Petit Cler,,,
"I, like many, visited for the  croque monsieur/madame.  My madame was fine but by no means the best.  I notice that many restaurants that serve  croques are omitting the béchamel and this, in my opinion is what elevates a  croque monsieur/madame to the level above ham sandwich. It's the creamy smear of this easy white sauce with a hint of nutmeg that makes this dish.   Le Petit Cler omits the béchamel.  It was an open game ham sandwich with melted cheese and an egg.  Meh. The waiter also asked for a tip which I thought was a little classless. It's good but you can do better.","I, like many, visited for the croque monsieur/madame. My madame was fine but by no means the best. I notice that many restaurants that serve croques are omitting the béchamel and this, in my opinion is what elevates a croque monsieur/madame to the level above ham sandwich. It's the creamy smear of this easy white sauce with a hint of nutmeg that makes this dish. Le Petit Cler omits the béchamel. It was an open game ham sandwich with melted cheese and an egg. Meh. The waiter also asked for a tip which I thought was a little classless. It's good but you can do better.",en,Yelp,Le Petit Cler,,,
"Nice ambience, good food, and great happy hour! Dinner visit before going to the Eiffel Tower and enjoyed our meal. Skirt steak (butchers choice t), salad, and baked potatoes for my husband. I enjoyed beef bourguignon and the happy hours drinks. Espresso martini and St. Germaine's ...while sitting outside. I would definitely return back and service was good!","Nice ambience, good food, and great happy hour! Dinner visit before going to the Eiffel Tower and enjoyed our meal. Skirt steak (butchers choice t), salad, and baked potatoes for my husband. I enjoyed beef bourguignon and the happy hours drinks. Espresso martini and St. Germaine's ...while sitting outside. I would definitely return back and service was good!",en,Yelp,Le Petit Cler,,,
"Le petit Cler lives up to its name, small and quaint bistro where you literally sit on top of each other. The big plus is great service and amazing food. We had the Beef bourguignon tagliatelle pasta and Croque monsieur madame with onion soup Many people said the Beef bourguignon is just fancy beef stew. Well, if it's fancy stew I'm all for it! The beef was tender and the sauce savory and full of flavor as the Beef is braised in red wine. The monsieur madame a fancy and extravagant ham and cheese sandwich topped with an egg. Both entrées were simple in presentation and comforting . The location is walking distance to the eiffel tower and the area outside the restaurant boast some great shops. A definite go to spot.","Le petit Cler lives up to its name, small and quaint bistro where you literally sit on top of each other. The big plus is great service and amazing food. We had the Beef bourguignon tagliatelle pasta and Croque monsieur madame with onion soup Many people said the Beef bourguignon is just fancy beef stew. Well, if it's fancy stew I'm all for it! The beef was tender and the sauce savory and full of flavor as the Beef is braised in red wine. The monsieur madame a fancy and extravagant ham and cheese sandwich topped with an egg. Both entrées were simple in presentation and comforting . The location is walking distance to the eiffel tower and the area outside the restaurant boast some great shops. A definite go to spot.",en,Yelp,Le Petit Cler,,,
"Great restaurant open till 11pm.  Perfect for a late night dinner for Americans still jet lagged.  Located in the most charming little Parisian street Rue Cler.  Simple fare at decent prices. Service is excellent.  Friendly helpful English speaking waiters. My son had the flank steak which was tasty.  My wife has the cobb salad with she enjoyed.  My daughter tried the veal blanquette which she said was delicious. I had the duck confit.  Not what I would have ordered on my own, but was the recommended special by the waiter.  It was excellent. The bread was also very good.  But then again bread is good everywhere in Paris.","Great restaurant open till 11pm. Perfect for a late night dinner for Americans still jet lagged. Located in the most charming little Parisian street Rue Cler. Simple fare at decent prices. Service is excellent. Friendly helpful English speaking waiters. My son had the flank steak which was tasty. My wife has the cobb salad with she enjoyed. My daughter tried the veal blanquette which she said was delicious. I had the duck confit. Not what I would have ordered on my own, but was the recommended special by the waiter. It was excellent. The bread was also very good. But then again bread is good everywhere in Paris.",en,Yelp,Le Petit Cler,,,
"Lovely petit déjeuner of coffee, freshly squeezed orange or grapefruit juice, croissant with butter and jam, and two eggs, choice of soft boiled, scrambled, omelet. All for 15.50 euros.","Lovely petit déjeuner of coffee, freshly squeezed orange or grapefruit juice, croissant with butter and jam, and two eggs, choice of soft boiled, scrambled, omelet. All for 15.50 euros.",en,Yelp,Le Petit Cler,,,
"We ventured out to Le Petit Cler on the way to the Eiffel Tower. The restaurant is nestled in a small, walkable street with several shops. We didn't have a ton of time but wanted to dine at a French restaurant known for their croque monsieur. Positives: -Service; our waiter was attentive (a strong plus in Paris), kind, and communicative. -The croque monsieur (and salad) did not disappoint -Water is served in a large flask so you don't need to track down your waiter for a refill (important to stay hydrated walking the streets of Paris) Negatives: -the flank steak was more on the rare side (though I requested medium) and desperately needed the accompanying pepper sauce (at an extra cost) for taste All in all, an average dining experience. If you want a French dining experience near the Eiffel Tower (with cute shops around), there is a strong chance Le Petit Cler will check your box.","We ventured out to Le Petit Cler on the way to the Eiffel Tower. The restaurant is nestled in a small, walkable street with several shops. We didn't have a ton of time but wanted to dine at a French restaurant known for their croque monsieur. Positives: -Service; our waiter was attentive (a strong plus in Paris), kind, and communicative. -The croque monsieur (and salad) did not disappoint -Water is served in a large flask so you don't need to track down your waiter for a refill (important to stay hydrated walking the streets of Paris) Negatives: -the flank steak was more on the rare side (though I requested medium) and desperately needed the accompanying pepper sauce (at an extra cost) for taste All in all, an average dining experience. If you want a French dining experience near the Eiffel Tower (with cute shops around), there is a strong chance Le Petit Cler will check your box.",en,Yelp,Le Petit Cler,,,
"For our last meal on our Paris vacation, we searched all over the area near the Eiffel Tower and Hotel des Invalides. So happens, we found a great restaurant right next our motel at Grand Hotel Lévêque. Le Petit Cler is relatively small with mostly outdoor dining. The pedestrian street, Rue Cler, has a fair amount of activity. Though mostly local. This is a nice atmosphere. I had six escargot, which I loved. For dinner, my wife and I both had beef bourguignon with tagliatelle pasta. Wine was a very good Cotes de Rhône. And we split a profiteroles for dessert. A wonderful final meal in Paris.","For our last meal on our Paris vacation, we searched all over the area near the Eiffel Tower and Hotel des Invalides. So happens, we found a great restaurant right next our motel at Grand Hotel Lévêque. Le Petit Cler is relatively small with mostly outdoor dining. The pedestrian street, Rue Cler, has a fair amount of activity. Though mostly local. This is a nice atmosphere. I had six escargot, which I loved. For dinner, my wife and I both had beef bourguignon with tagliatelle pasta. Wine was a very good Cotes de Rhône. And we split a profiteroles for dessert. A wonderful final meal in Paris.",en,Yelp,Le Petit Cler,,,
