Titre de l'avis,Avis,Date_str,Date
,"A ce jour, aucun problème pour l utilisation de mon compte. J utilise surtout ma carte et les cashback. Intuitif, facile d'accès au niveau du compte courant.",2 déc. 2025,2025-12-02
,Bonjour pour l'instant aucun souci ça va faire un an  une carte pour moi et ma fille quand il y a un problème un peu de jours avoir un opérateur.,1 déc. 2025,2025-12-01
,"Banque en ligne proposant de nombreux services et avantages à un prix raisonnable, bien moins cher que les banques traditionnelles.

Très facile d' utilisation.",30 nov. 2025,2025-11-30
,"Ajout d'un nouveau bénéficiaire sur mon compte afin de faire un virement
Très facile en deux minutes c'est enregistré
Bravo à Boursobank pour la limpidité des ses démarches 👍",27 nov. 2025,2025-11-27
Banque très pratique,"Banque très pratique, les opérations sont très faciles et rapides à effectuer et en plus si vous l'utilisez au moins une fois par mois la carte s'est gratuite sans aucun frais bancaires. Aucun problème avec et il y a quand-même des conseillers joignables très rapidement Je recommande vivement",,
,Besoin d augmenter mon plafond de cb. Fait en 3 clics sur l application! Très satisfait de la facilité d utilisation,,
Bonnes explications  et opérations …,Bonnes explications  et opérations  bien effectuées,,
,"J'ai pu verrouiller ma carte grâce a l'application, j'adore cette application est bien détaillée.",,
Clôture PER Boursobank,"J'ai un PER chez Boursobank que j'ai voulu clôturer dans le cadre d'un achat immobilier. Les pièces ont été envoyées en temps et en heure. Or il manquait des pièces, mais Boursobank ne m'a prévenu que 2 mois plus tard, après donc la signature de l'act authentique de vente. Je m'étais pourtant assuré que le processus allait dans le bon sens en amont de leur retour, et ils m'affirmaient que ""s'il y avait un problème ils m'auraient contacté"". Aujourd'hui, je ne peux pas le débloquer car ""la date de signature de l'acte authentique est passé et que les pièces justificatives n'ont pas été reçues en amont de celui-ci"". Reconnaissant leur faute, ils m'ont proposé un geste commercial de 200€ (contre plusieurs milliers d'€ sur le PER). Je suis très déçu. Le dernier recours est maintenant de saisir l'AMF. Très dommage d'en arriver là.",,
,Je ne retrouvais plus mon portefeuille avec ma carte. Très pratique et rapide de la bloquer et super rassurant.,,
,"J’adore cette banque dommage que je ne l’ai pas connu avant, c’est simple à utiliser c’est fluide je la recommande",,
,La flexibilité du système est un plus pour changer les paramètres de la carte bancaire lorsque l'on part à l'étranger.,,
Parfait,La meilleure banque sur cette planète !,,
,Les virements fonctionnent bien. Les champs montants et le texte ont des propositions plutôt pertinentes. Le fait de pouvoir faire 2 virements immédiats le même jour est super.,,
,"On ne peut pas retirer plus de 1000€ même avec son compte approvisionné sans avoir eu une rentrée d'argent de 12000€ dans la semaine, je n'ai jamais eu cette somme en banque de toute ma vie.",,
Plus une banque en ligne mais une banque sur téléphone uniquement,"On ne peut plus rien faire depuis son ordinateur avec son compte bourso, trop dépendant d'un smartphone ! Le site ne sert plus à rien insupportable !",,
Parfait,Parfait ! Réponse claire et rapide,,
Parfait et rapide.,Parfait et rapide.,,
Pour éviter les fraude,Pour éviter les fraude,,
,"Selon moi, meilleur banque en ligne et de loin !
Toujours des nouveautés et un temps d'avance monstrueux comparé aux banques tradi.
Banque gratuite et appli tellement pratique 💪",,
Simple et efficace,Simple et efficace,,
Super,Super . Très bien,,
,"Toujours très satisfait de Boursorama.
Que ce soit sur la partie bancaire ou crédit, je recommande.",,
,Tous les produits bancaires utilisables en haute sécurité et le plus des réductions sur beaucoup d'enseigne et même sur des séjours de vacances,,
Qualité des services,Tout ce passe bien,,
Très simple,"Très simple, sécurisé et rapide",,
Virement  à la fois  très simple et…,Virement  à la fois  très simple et très sécurisé.,,
,"Voulant connaître le nom du débiteur, on m'a conseiller de bloquer ma carte sur une suspicion de vol de numéro de carte bancaire. Car aucun souvenir de la dépense",,
,Vraiment très pratique si l'on à un doute sur la bienveillance d'un prélèvement ou paiement à venir dont on est pas à l'origine ou que l'on identifie pas clairement,,
,"alors que je ne pouvais pas faire un virement sur un nouveau compte tiers ( BUBENDORFF),
je l'ai fait sur mon compte Caisse Epargne 
et vais donc l'effectuer par l'intermédiaire de ce compte",,
ouverture de livret A très rapide étant…,ouverture de livret A très rapide étant déjà client.,,
